epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8693.88,2.3736,1.21791,0.83618,0.52736,0.37624,0.41898,0.16752,2.15248,1.18217,0.79794,0.0011882,0.0011882,0.0011882
43,8901.21,2.32169,1.08757,0.86196,0.72005,0.40749,0.49932,0.169,2.34921,1.3343,0.80614,0.0011684,0.0011684,0.0011684
44,9110.09,2.40513,1.15097,0.8553,0.59059,0.39995,0.45629,0.17397,2.25595,1.27171,0.8057,0.0011486,0.0011486,0.0011486
45,9318.8,2.36369,1.15782,0.86309,0.64964,0.48515,0.57153,0.16474,2.2908,1.08376,0.79395,0.0011288,0.0011288,0.0011288
46,9527.37,2.32639,1.158,0.83482,0.73401,0.46535,0.57138,0.24003,2.03063,1.10792,0.79418,0.001109,0.001109,0.001109
47,9735.61,2.2893,1.20469,0.83493,0.83646,0.50643,0.59385,0.19285,2.39023,1.01006,0.79943,0.0010892,0.0010892,0.0010892
48,9943.12,2.32144,1.06809,0.85657,0.73314,0.47525,0.58589,0.22934,2.12344,1.14563,0.80531,0.0010694,0.0010694,0.0010694
49,10153.5,2.35683,1.18361,0.83259,0.7905,0.53465,0.607,0.22095,2.33356,1.01848,0.80078,0.0010496,0.0010496,0.0010496
50,10360.2,2.24732,1.07643,0.83559,0.71801,0.47525,0.56972,0.20984,2.25715,1.11914,0.80691,0.0010298,0.0010298,0.0010298
51,10566.4,2.26108,1.13801,0.83127,0.7571,0.47525,0.57286,0.21126,2.33061,1.02989,0.79676,0.00101,0.00101,0.00101
52,10774.4,2.28732,1.11502,0.83354,0.81292,0.34422,0.48338,0.16045,2.25491,1.23841,0.79204,0.0009902,0.0009902,0.0009902
53,10982.3,2.22767,1.02624,0.84678,0.76408,0.51308,0.64326,0.23015,2.27856,1.07616,0.80769,0.0009704,0.0009704,0.0009704
54,11189,2.24031,1.04912,0.83273,0.71699,0.55188,0.61509,0.22536,2.04602,0.9373,0.79387,0.0009506,0.0009506,0.0009506
55,11395.5,2.28801,1.15002,0.83172,0.56169,0.35528,0.41107,0.1374,2.61234,1.24523,0.80993,0.0009308,0.0009308,0.0009308
56,11603.3,2.3387,1.04556,0.85341,0.62689,0.39604,0.57434,0.22548,2.13275,1.20818,0.79227,0.000911,0.000911,0.000911
57,11810.1,2.35823,1.06007,0.85568,0.68232,0.43564,0.51366,0.18353,2.30068,1.00724,0.79983,0.0008912,0.0008912,0.0008912
58,12018.4,2.27188,1.24378,0.84817,0.75986,0.41584,0.52168,0.18924,2.10452,1.10863,0.78761,0.0008714,0.0008714,0.0008714
59,12224.6,2.06775,1.06403,0.83527,0.68901,0.52648,0.62244,0.23499,2.18674,1.01681,0.79149,0.0008516,0.0008516,0.0008516
60,12431.4,2.18852,1.00746,0.84289,0.80446,0.53465,0.62211,0.22956,2.19686,0.97017,0.79154,0.0008318,0.0008318,0.0008318
61,12638.8,2.1057,1.09759,0.83931,0.8087,0.54413,0.64266,0.22108,2.00098,0.86285,0.78804,0.000812,0.000812,0.000812
62,12846,2.06573,1.03606,0.83029,0.63214,0.49342,0.54839,0.1964,2.10606,0.92547,0.78801,0.0007922,0.0007922,0.0007922
63,13053.9,2.08056,1.05865,0.83141,0.594,0.47525,0.51319,0.18719,2.01207,1.13616,0.78354,0.0007724,0.0007724,0.0007724
64,13263.1,2.14283,1.03634,0.83527,0.58093,0.42574,0.47924,0.17213,2.06985,1.18885,0.78084,0.0007526,0.0007526,0.0007526
65,13471.3,2.16929,1.03833,0.83683,0.70421,0.44554,0.50834,0.18654,2.1483,1.01759,0.78749,0.0007328,0.0007328,0.0007328
66,13682.7,2.12682,0.96932,0.8294,0.8243,0.50495,0.66117,0.26799,1.9879,0.9145,0.78655,0.000713,0.000713,0.000713
67,13889.3,2.13742,0.98256,0.83437,0.73633,0.41475,0.53877,0.20819,1.95299,1.077,0.78859,0.0006932,0.0006932,0.0006932
68,14096.7,2.11416,1.06646,0.81737,0.7064,0.44554,0.58206,0.23176,2.16157,0.9941,0.79075,0.0006734,0.0006734,0.0006734
69,14304.7,2.01972,0.96953,0.82947,0.64219,0.44427,0.52183,0.18357,2.18851,1.17518,0.78379,0.0006536,0.0006536,0.0006536
70,14511.6,2.1042,0.99197,0.82331,0.63866,0.49505,0.5835,0.22424,1.99861,1.01837,0.78531,0.0006338,0.0006338,0.0006338
71,14719.1,2.14599,0.98905,0.83159,0.76296,0.5418,0.65061,0.25767,1.89963,0.96346,0.78198,0.000614,0.000614,0.000614
72,14929.1,2.08376,0.90864,0.82939,0.64815,0.51485,0.58183,0.23106,1.96806,0.86231,0.78367,0.0005942,0.0005942,0.0005942
73,15136.1,2.00369,0.90791,0.83646,0.86324,0.45545,0.594,0.25341,2.02882,0.88756,0.78603,0.0005744,0.0005744,0.0005744
74,15343.4,2.07047,0.95726,0.83129,0.62278,0.44139,0.54209,0.17891,2.21567,0.9966,0.78225,0.0005546,0.0005546,0.0005546
75,15552.2,2.08408,0.88815,0.82194,0.61436,0.45745,0.50901,0.18559,2.18984,1.04752,0.79098,0.0005348,0.0005348,0.0005348
76,15760.3,2.0775,0.89539,0.83077,0.6278,0.55114,0.61104,0.22715,2.10643,0.89933,0.78847,0.000515,0.000515,0.000515
77,16896,2.04847,0.98674,0.83019,0.77577,0.53465,0.62977,0.26495,2.04782,0.87957,0.78716,0.0004952,0.0004952,0.0004952
78,19756.7,2.06828,0.9031,0.83157,0.63732,0.47525,0.58108,0.22838,2.0513,0.98484,0.78777,0.0004754,0.0004754,0.0004754
79,21037.5,1.96,0.87043,0.82329,0.66384,0.51485,0.60126,0.23147,2.16324,0.87649,0.78921,0.0004556,0.0004556,0.0004556
80,23281.4,2.04131,0.89575,0.84969,0.72143,0.48722,0.61723,0.25987,1.76225,0.87488,0.78316,0.0004358,0.0004358,0.0004358
81,24606.9,2.075,0.9639,0.82585,0.69357,0.48515,0.64649,0.27329,1.87043,0.84287,0.78708,0.000416,0.000416,0.000416
82,25988.4,1.9728,0.91234,0.8228,0.76671,0.48515,0.63298,0.24921,1.936,0.80596,0.78627,0.0003962,0.0003962,0.0003962
83,27274.5,2.00483,0.8934,0.82162,0.90223,0.47525,0.63717,0.27337,1.82584,0.83962,0.78733,0.0003764,0.0003764,0.0003764
84,28878.5,1.95213,0.83376,0.82893,0.82561,0.46878,0.5951,0.22097,2.09822,0.89297,0.78947,0.0003566,0.0003566,0.0003566
85,29089.4,1.87995,0.82306,0.80722,0.81839,0.47525,0.61959,0.24202,2.02643,0.82382,0.78602,0.0003368,0.0003368,0.0003368
86,29295.2,1.92509,0.88406,0.82021,0.67505,0.47309,0.58564,0.23091,2.04853,0.88645,0.78617,0.000317,0.000317,0.000317
87,29502.4,2.08962,0.90517,0.82322,0.80721,0.51485,0.63149,0.25105,2.11716,0.85162,0.79201,0.0002972,0.0002972,0.0002972
88,29708.5,1.93244,0.88989,0.80453,0.7051,0.49717,0.59797,0.24993,1.98488,0.86189,0.79085,0.0002774,0.0002774,0.0002774
89,29915.2,1.85785,0.85815,0.81774,0.71146,0.49505,0.62937,0.25978,1.95078,0.84303,0.79199,0.0002576,0.0002576,0.0002576
90,30121.3,1.83895,0.74549,0.81408,0.67626,0.47569,0.59966,0.25795,1.96815,0.87114,0.79246,0.0002378,0.0002378,0.0002378
91,30327.2,1.89934,0.89736,0.81297,0.65514,0.48907,0.58078,0.23853,2.07041,0.81615,0.79505,0.000218,0.000218,0.000218
92,30533.8,1.86982,0.85422,0.84794,0.66965,0.52475,0.59949,0.25425,1.97538,0.76474,0.7935,0.0001982,0.0001982,0.0001982
93,30740.4,1.83868,0.80794,0.8264,0.72355,0.49505,0.59652,0.26077,1.98652,0.75131,0.79013,0.0001784,0.0001784,0.0001784
94,30946.9,1.79718,0.7738,0.81509,0.83287,0.51485,0.63704,0.26476,1.91821,0.74427,0.78875,0.0001586,0.0001586,0.0001586
95,31153.4,1.88598,0.84926,0.80996,0.81196,0.45545,0.59459,0.25402,1.89626,0.78341,0.78658,0.0001388,0.0001388,0.0001388
96,31360.2,1.82959,0.76617,0.84096,0.75367,0.47525,0.62023,0.26373,1.85107,0.7673,0.78767,0.000119,0.000119,0.000119
97,31566.7,1.87598,0.72538,0.8398,0.83235,0.49505,0.65552,0.28779,1.86344,0.74133,0.79013,9.92e-05,9.92e-05,9.92e-05
98,31773,1.74474,0.70209,0.82558,0.6768,0.51836,0.6189,0.25795,2.00194,0.77962,0.7914,7.94e-05,7.94e-05,7.94e-05
99,31979.3,1.80917,0.7189,0.83119,0.73506,0.48515,0.63593,0.26728,1.93968,0.77564,0.78975,5.96e-05,5.96e-05,5.96e-05
100,32185.9,1.76979,0.74665,0.81659,0.74943,0.48515,0.65133,0.29391,1.83207,0.74646,0.78832,3.98e-05,3.98e-05,3.98e-05
